"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Matt Manning","DET","24","24","136.0","7","10","10","0","0","142","69","18","101","47","1.38","6.66","3.08","4.56","4.50","","1.1","0.7","","450.8","20369"
"Tarik Skubal","DET","13","13","71.0","4","4","6","0","0","66","30","9","72","22","1.22","9.17","2.72","3.75","3.71","","1.1","1.1","","425.0","22267"
"Mike Minor","","24","24","134.0","7","9","10","0","0","139","69","21","109","41","1.34","7.30","2.78","4.61","4.62","","1.0","0.7","","999.0","10021"
"Michael Kopech","CHW","24","36","141.0","8","9","9","0","1","132","71","22","140","59","1.36","9.00","3.76","4.57","4.54","","1.0","0.6","","296.1","17282"
"Seth Lugo","SDP","19","45","135.0","8","8","9","0","1","130","63","18","124","49","1.32","8.24","3.28","4.18","4.24","","1.0","1.0","","558.1","12447"
"Mike Soroka","ATL","16","32","108.0","6","6","7","0","1","114","51","13","85","31","1.34","7.12","2.56","4.21","4.03","","1.0","1.0","","405.0","18383"
"Braxton Garrett","MIA","13","51","109.0","6","7","6","0","1","105","47","12","101","35","1.29","8.35","2.92","3.88","3.86","","1.0","1.1","","349.2","21844"
"Michael Lorenzen","DET","23","41","145.0","7","10","10","0","1","145","70","17","118","59","1.40","7.33","3.64","4.34","4.32","","1.0","0.8","","493.4","14843"
"Zack Greinke","","24","24","136.0","8","9","10","0","0","152","69","21","90","28","1.33","5.99","1.85","4.55","4.47","","1.0","0.9","","641.4","1943"
"Daniel Lynch","KCR","21","21","111.0","6","8","8","0","0","111","53","14","94","41","1.37","7.60","3.32","4.32","4.30","","1.0","1.2","","561.7","21537"
"Stephen Strasburg","WSN","15","15","81.0","4","6","6","0","0","83","41","12","68","26","1.35","7.57","2.92","4.50","4.42","","1.0","0.7","","703.6","10131"
"Ryan Helsley","STL","0","68","68.0","4","3","0","30","3","51","23","7","88","26","1.14","11.64","3.51","3.07","3.10","","1.0","1.0","","67.3","18138"
"Cole Irvin","OAK","29","29","177.0","9","12","15","0","0","187","87","26","125","43","1.30","6.36","2.20","4.41","4.46","","0.9","0.8","","445.3","19244"
"José Alvarado","PHI","0","65","65.0","4","3","0","8","11","47","21","5","89","33","1.24","12.37","4.64","2.86","3.03","","0.9","1.1","","426.0","17780"
