"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yoán Moncada","CHW","138","587","517","126","28","2","17","67","66","58","151","6","3","1","",".244",".324",".402",".726",".318","107","","-0.1","0.0","","4.6","1.2","2.6","","999.0","17232"
"Lars Nootbaar","STL","107","430","368","91","16","2","17","53","54","52","91","3","6","2","",".246",".343",".441",".784",".342","125","","-0.1","1.6","","12.2","-2.2","2.6","","999.0","21454"
"Corbin Carroll","ARI","122","498","436","106","21","7","17","58","58","49","130","7","14","6","",".242",".328",".435",".763",".332","112","","0.4","5.1","","7.5","0.1","2.6","","999.0","25878"
"Jean Segura","","126","541","490","134","23","2","11","61","55","36","83","8","12","5","",".273",".331",".395",".726",".319","106","","0.7","-0.6","","4.7","1.5","2.5","","999.0","5933"
"Trent Grisham","SDP","125","506","437","97","20","2","17","60","58","56","131","6","9","3","",".222",".316",".397",".713",".314","106","","0.7","0.7","","4.2","2.7","2.5","","999.0","18564"
"Rhys Hoskins","PHI","149","660","568","132","31","2","30","87","87","78","160","7","3","1","",".233",".330",".450",".780",".340","119","","-1.7","1.6","","12.5","-10.9","2.5","","999.0","16472"
"DJ LeMahieu","NYY","105","479","419","115","19","1","11","62","45","48","66","4","4","2","",".274",".352",".402",".754",".333","119","","-0.7","1.0","","9.6","-1.5","2.4","","999.0","9874"
"Ramón Laureano","OAK","139","616","551","129","29","1","21","69","73","44","160","14","16","7","",".234",".305",".408",".713",".313","109","","1.3","2.1","","7.5","-3.8","2.4","","999.0","17128"
"Kolten Wong","SEA","120","506","450","113","22","2","12","55","50","39","90","10","14","5","",".251",".323",".387",".710",".313","108","","0.8","-0.6","","5.6","1.4","2.4","","999.0","12532"
"Ryan McMahon","COL","138","595","525","130","26","2","22","73","76","59","152","5","7","3","",".248",".328",".433",".761",".332","100","","0.0","0.6","","-0.3","2.9","2.4","","999.0","15112"
"Yasmani Grandal","CHW","83","337","280","63","11","0","12","38","37","50","74","3","1","0","",".225",".346",".391",".737",".329","115","","-2.3","-2.2","","3.4","3.9","2.4","","999.0","11368"
"Anthony Rizzo","NYY","131","579","497","120","21","1","27","76","80","59","104","17","7","3","",".241",".339",".450",".789",".343","126","","-2.4","0.7","","14.4","-10.4","2.4","","999.0","3473"
"Jeremy Peña","HOU","139","566","524","129","22","2","22","64","72","28","131","7","10","4","",".246",".290",".421",".711",".309","101","","0.1","-3.6","","1.0","3.3","2.3","","999.0","21636"
"Jake McCarthy","ARI","141","611","548","141","28","6","15","71","71","49","132","8","28","10","",".258",".325",".416",".741",".324","107","","2.4","-0.2","","7.5","-5.7","2.3","","999.0","21622"
"Eugenio Suárez","SEA","144","624","546","115","20","1","28","71","79","65","191","7","1","0","",".211",".301",".405",".707",".311","107","","-2.4","-1.6","","2.5","-0.1","2.3","","999.0","12552"
"Mike Yastrzemski","SFG","130","573","502","115","29","2","20","71","65","56","143","7","4","2","",".230",".314",".414",".728",".319","107","","-0.1","-2.7","","4.5","-1.4","2.3","","999.0","14854"
"Bryson Stott","PHI","117","456","407","103","21","2","12","51","51","40","89","3","9","4","",".252",".320",".403",".724",".318","103","","0.4","2.9","","2.0","5.0","2.3","","999.0","26294"
"José Abreu","HOU","150","642","570","155","32","1","22","80","86","54","123","12","1","0","",".273",".346",".447",".793",".345","127","","-1.6","-3.6","","18.2","-16.5","2.3","","999.0","15676"
"Brandon Crawford","SFG","115","473","421","102","20","2","12","49","50","40","99","6","4","2","",".243",".316",".388",".704",".309","100","","-0.8","4.5","","-0.8","6.9","2.3","","999.0","5343"
"Ramón Urías","BAL","126","516","463","114","23","1","15","55","57","41","119","7","2","1","",".247",".315",".403",".719",".315","105","","-0.7","1.5","","2.5","3.0","2.3","","999.0","18795"
"Andrew Benintendi","","128","571","508","134","25","2","15","71","61","52","99","4","9","4","",".265",".336",".411",".746",".328","114","","-0.2","1.4","","8.7","-5.0","2.3","","999.0","17901"
"Royce Lewis","MIN","79","314","283","76","18","1","12","39","41","23","62","3","9","3","",".269",".329",".466",".795",".344","127","","0.3","-1.1","","9.8","2.0","2.3","","999.0","20437"
"Tyler Stephenson","CIN","117","500","447","115","24","1","15","55","60","42","113","7","2","1","",".257",".328",".411",".738",".324","102","","-0.6","0.6","","0.5","7.1","2.3","","999.0","17988"
"Tony Kemp","OAK","131","590","517","129","27","2","9","67","47","55","77","8","10","3","",".250",".330",".365",".695",".310","107","","0.5","-1.7","","5.2","-2.2","2.3","","999.0","14894"
"Rowdy Tellez","MIL","128","553","489","121","24","1","30","73","84","53","113","6","2","1","",".247",".326",".485",".811",".345","123","","-1.7","0.7","","13.1","-10.3","2.2","","999.0","15679"
"Giancarlo Stanton","NYY","126","545","480","118","18","1","32","73","87","58","156","3","1","0","",".246",".329",".488",".817",".352","132","","-2.0","0.0","","17.7","-13.9","2.2","","999.0","4949"
"Vaughn Grissom","ATL","110","418","375","102","19","2","11","51","48","30","69","7","11","3","",".273",".335",".419",".754",".330","111","","0.5","-4.0","","5.6","1.4","2.2","","999.0","26031"
"Alex Verdugo","BOS","144","613","556","156","36","2","15","72","72","46","91","5","4","2","",".281",".338",".430",".768",".334","113","","0.2","-0.9","","9.3","-8.1","2.2","","999.0","17027"
"William Contreras","MIL","112","472","421","104","18","1","21","57","66","43","122","4","2","1","",".247",".320",".450",".770",".334","115","","-1.3","-1.9","","7.0","2.2","2.2","","999.0","20503"
